,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
0,DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2018-10-10,15:00,40.14,40.14,40.11,40.11,2686,12
1,DE000A0H08M3,EXH1,IS.S.E.600 OIL+G.U.ETF A.,ETF,EUR,2504330,2018-10-10,15:00,36.105,36.105,36.105,36.105,2924,2
2,DE0007010803,RAA,RATIONAL AG,Common stock,EUR,2505070,2018-10-10,15:00,588.5,588.5,588.5,588.5,6,2
3,DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2018-10-10,15:00,40.25,40.25,40.24,40.25,149,5
4,DE0005937007,MAN,MAN SE ST O.N.,Common stock,EUR,2504995,2018-10-10,15:00,91.85,91.85,91.85,91.85,383,4
5,DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.,Common stock,EUR,2504297,2018-10-10,15:00,177.6,177.8,177.6,177.8,272,4
6,DE000TCAG172,TC1,TELE COLUMBUS AG NA O.N.,Common stock,EUR,2504853,2018-10-10,15:00,2.73,2.73,2.73,2.73,367,1
7,DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2018-10-10,15:00,71.74,71.74,71.63,71.66,6203,23
8,DE0005545503,DRI,1+1 DRILLISCH AG O.N.,Common stock,EUR,2504950,2018-10-10,15:00,37.52,37.52,37.5,37.5,4165,18
9,DE000A0KFRJ1,T5O,CYTOTOOLS          O.N.,Common stock,EUR,2504351,2018-10-10,15:00,7.5,7.5,7.4,7.4,500,3
10,LU0061462528,RRTL,RTL GROUP,Common stock,EUR,2505811,2018-10-10,15:00,60.45,60.45,60.45,60.45,40,1
11,DE000ENAG999,EOAN,E.ON SE NA O.N.,Common stock,EUR,2504666,2018-10-10,15:00,8.445,8.445,8.437999999999999,8.439,19091,13
12,DE0005488100,ISR,ISRA VISION O.N.,Common stock,EUR,2504937,2018-10-10,15:00,38.25,38.25,38.1,38.1,847,10
